step,loss
10,14.82666
20,3.52209
30,2.93322
40,2.63737
50,2.53441
60,2.43101
70,2.20907
80,2.35097
90,2.55158
100,2.56336
110,2.57394
120,2.49165
130,2.42121
140,2.59263
150,2.36171
160,2.39960
170,2.28546
180,2.37113
190,2.63559
200,2.29888
210,2.49108
220,2.56430
230,2.59992
240,2.54874
250,2.53637
260,2.32178
270,2.22277
280,2.51151
290,2.53130
300,2.51241
310,2.49373
320,2.59173
330,2.60507
340,2.35544
350,2.32764
360,2.58722
370,2.12219
380,2.40988
390,2.52868
400,2.55762
410,2.34136
420,2.39179
430,2.55937
440,2.50677
450,2.45360
460,2.38436
470,2.26271
480,2.20363
490,2.40532
500,2.20230
510,2.49026
520,2.42897
530,2.45651
540,2.45046
550,2.45187
560,2.51823
570,2.54941
580,2.39666
590,2.45704
600,2.18601
610,2.33774
620,2.50256
630,2.46712
640,2.08474
650,2.33891
660,2.37958
670,2.44059
680,2.43003
690,2.10112
700,2.13173
710,2.29529
720,2.50709
730,2.45834
740,2.40424
750,2.03374
760,2.26595
770,2.45087
780,2.31252
790,2.45896
800,2.50042
810,2.19192
820,2.32976
830,2.27852
840,2.42451
850,2.26073
860,2.41570
870,2.48037
880,2.48809
890,2.47332
900,2.20174
910,2.15454
920,2.28924
930,2.36732
940,2.38859
950,2.36145
960,2.32479
970,2.39260
980,2.33219
990,2.31881
1000,2.16748
