step,loss
10,15.57631
20,3.30324
30,3.00295
40,2.72536
50,2.62892
60,2.53465
70,2.51385
80,2.33907
90,2.52889
100,2.61818
110,2.48186
120,2.36569
130,2.44664
140,2.51978
150,2.68296
160,2.49791
170,2.53398
180,2.58601
190,2.59437
200,2.54961
210,2.28933
220,2.40752
230,2.49757
240,2.62512
250,2.40089
260,2.56276
270,2.19504
280,2.54610
290,2.41160
300,2.44261
310,2.27747
320,2.33230
330,2.55697
340,2.47573
350,2.35051
360,2.31528
370,2.54377
380,2.46699
390,2.31723
400,2.51359
410,2.38107
420,2.46514
430,2.49972
440,2.52876
450,2.25657
460,2.30896
470,2.60984
480,2.54995
490,2.47234
500,2.51776
510,2.46685
520,2.53494
530,2.39647
540,2.51958
550,2.44983
560,2.47056
570,2.45747
580,2.53652
590,2.51401
600,2.28556
610,2.34536
620,2.18688
630,2.54588
640,2.13111
650,2.05413
660,2.22894
670,2.37429
680,2.49099
690,2.11425
700,2.36774
710,2.32104
720,2.17528
730,2.14818
740,2.50822
750,2.36623
760,2.17644
770,2.42530
780,2.39354
790,2.14433
800,2.18775
810,2.36774
820,2.34475
830,2.37194
840,2.30875
850,2.39606
860,2.33185
870,2.42800
880,2.30366
890,2.50476
900,2.51080
910,2.34583
920,2.28646
930,2.24317
940,2.11571
950,2.39590
960,2.31142
970,2.39157
980,2.24303
990,2.26606
1000,2.36913
